  mype,      init,   an2filt,    vfiltT,    upsend,    hfiltT,    weight,     hfilt,    dnsend,     vfilt,   filt2an,    output,     total
   276,    1.1017,    7.1857,    0.7313,    0.3781,    1.1493,    0.0586,    0.8193,    2.8011,    0.6891,    3.8323,    0.2877,   19.1365
   277,    1.1026,    7.1269,    0.7397,    0.4412,    1.1567,    0.0585,    0.7956,    2.8146,    0.6833,    3.6809,    0.4953,   19.1671
   278,    1.0852,    7.1287,    0.7391,    0.3674,    1.2308,    0.0587,    0.8295,    2.7790,    0.6893,    3.8722,    0.3290,   19.2125
   279,    1.0984,    7.0706,    0.7498,    0.4934,    1.1340,    0.0586,    0.8361,    2.7928,    0.6859,    3.6882,    0.4917,   19.1712
   280,    1.0901,    7.1957,    0.7344,    0.3251,    1.1123,    0.0586,    0.8365,    2.7587,    0.6831,    3.7623,    0.5603,   19.2197
   281,    1.1277,    7.0999,    0.7409,    0.3883,    1.1263,    0.0585,    0.8308,    2.7464,    0.6744,    3.6074,    0.6930,   19.1654
   282,    1.1454,    7.0333,    0.7455,    0.4196,    1.1338,    0.0585,    0.8317,    2.7497,    0.6830,    3.8129,    0.5030,   19.2200
   283,    1.1004,    7.0235,    0.7549,    0.4767,    1.1815,    0.0586,    0.7725,    2.7558,    0.6768,    3.6153,    0.6788,   19.1680
   284,    1.0871,    7.0956,    0.7409,    0.4115,    1.2833,    0.0591,    0.7155,    2.7285,    0.6684,    3.8048,    0.5167,   19.2154
   285,    1.1047,    7.0207,    0.7561,    0.4710,    1.2267,    0.0585,    0.7467,    2.7547,    0.6804,    3.6380,    0.6386,   19.1682
   286,    1.0898,    7.0889,    0.7441,    0.4142,    1.2289,    0.0587,    0.7239,    2.8066,    0.6899,    3.8128,    0.4572,   19.2181
   287,    1.1058,    7.0116,    0.7538,    0.4798,    1.2262,    0.0586,    0.7081,    2.8244,    0.6851,    3.6413,    0.5919,   19.1585
   288,    1.0883,    7.0598,    0.7656,    0.4484,    1.2328,    0.0596,    0.7431,    2.8069,    0.7003,    3.7632,    0.4432,   19.1848
   289,    1.0349,    7.0865,    0.7391,    0.4923,    1.2431,    0.0586,    0.7110,    2.8306,    0.6689,    3.6013,    0.6286,   19.1675
   290,    1.0630,    7.1069,    0.7534,    0.4648,    1.2092,    0.0585,    0.7103,    2.8604,    0.6940,    3.7156,    0.4659,   19.1742
   291,    1.0341,    7.0972,    0.7389,    0.5197,    1.2096,    0.0585,    0.7102,    2.8625,    0.6722,    3.6037,    0.5906,   19.1697
   292,    1.0639,    7.0399,    0.7609,    0.5246,    1.2084,    0.0585,    0.7110,    2.8713,    0.6950,    3.7416,    0.4262,   19.1732
   293,    1.0344,    7.0397,    0.7388,    0.5787,    1.2150,    0.0586,    0.7088,    2.8621,    0.6722,    3.6286,    0.5602,   19.1689
